Efficiency_ID,Project_ID,Metric,Description,Data,Test_Location,Temperature_Range,Traffic_Density,Noise_Level,Material_Used,Installation_Technique,Maintenance_Frequency,Efficiency_Variation,Road_Condition
1,100,Efficiency,Description for Efficiency metric 0,Unknown,UK,20 to 30,1439,61.876156899317486,BaTiO3,Embedded,Quarterly,0.196752532448371,Poor
2,49,Durability,Description for Durability metric 1,Medium,Canada,-10 to 0,2064,63.565305062923315,BaTiO3,Embedded,Monthly,0.07934856769899482,Average
3,100,Efficiency,Description for Efficiency metric 2,Low,Germany,-10 to 0,1278,62.90296062692036,PZT,Surface-Mounted,Monthly,0.14077604471612337,Good
4,90,Efficiency,Description for Efficiency metric 3,High,Italy,0 to 10,3804,76.61601641292805,PZT,Embedded,Annually,0.1294319310631034,Average
5,70,Durability,Description for Durability metric 4,Unknown,Japan,0 to 10,2777,85.15945080078322,PZT,Surface-Mounted,Quarterly,0.12715193462605368,Average
6,66,Efficiency,Description for Efficiency metric 5,Unknown,USA,0 to 10,4829,97.4639950021571,PZT,Embedded,Annually,0.06365855325619303,Poor
7,100,Durability,Description for Durability metric 6,Unknown,Japan,30 to 40,516,84.70436875414899,PZT,Surface-Mounted,Quarterly,0.20806094267000202,Average
8,72,Efficiency,Description for Efficiency metric 7,Low,UK,10 to 20,1922,89.05964219811953,PVDF,Surface-Mounted,Monthly,0.05098582533243654,Poor
9,2,Durability,Description for Durability metric 8,Unknown,UK,0 to 10,3499,58.446305793228284,BaTiO3,Embedded,Quarterly,0.08265273140702295,Poor
10,2,Durability,Description for Durability metric 9,Low,France,30 to 40,4292,68.70313125036628,BaTiO3,Surface-Mounted,Annually,0.18936546622713601,Average
11,72,Durability,Description for Durability metric 10,Medium,Italy,-10 to 0,1825,70.6890109929133,PVDF,Surface-Mounted,Quarterly,0.09548627636821241,Average
12,26,Durability,Description for Durability metric 11,High,South Korea,10 to 20,613,84.31901150002365,PVDF,Surface-Mounted,Monthly,0.2194034688272054,Average
13,78,Durability,Description for Durability metric 12,Medium,Canada,30 to 40,3674,64.79459881884368,PVDF,Embedded,Annually,0.17032513265231433,Poor
14,51,Efficiency,Description for Efficiency metric 13,High,France,-10 to 0,2513,65.16459607098331,PVDF,Surface-Mounted,Quarterly,0.2006521310391161,Poor
15,28,Efficiency,Description for Efficiency metric 14,High,Japan,20 to 30,3290,67.79445773204341,PZT,Embedded,Monthly,0.09516177012042931,Average
16,97,Durability,Description for Durability metric 15,Medium,UK,20 to 30,2622,90.51510407716161,BaTiO3,Surface-Mounted,Quarterly,0.20027620045704908,Poor
17,44,Efficiency,Description for Efficiency metric 16,Unknown,Israel,10 to 20,1139,78.87950450216744,PVDF,Surface-Mounted,Monthly,0.217210627589906,Average
18,20,Efficiency,Description for Efficiency metric 17,Unknown,Germany,30 to 40,1326,53.763863991636725,Quartz,Surface-Mounted,Annually,0.15840347088182644,Poor
19,99,Durability,Description for Durability metric 18,Medium,Italy,30 to 40,3851,53.91230498452344,PVDF,Surface-Mounted,Annually,0.05548014756744928,Poor
20,46,Durability,Description for Durability metric 19,Low,Germany,-10 to 0,206,68.56434721412496,BaTiO3,Surface-Mounted,Quarterly,0.11599457756807213,Good
21,81,Durability,Description for Durability metric 20,High,Israel,20 to 30,4452,88.32955253030792,Quartz,Surface-Mounted,Monthly,0.16822848450495642,Good
22,44,Durability,Description for Durability metric 21,High,France,20 to 30,1717,84.43417132393402,PVDF,Embedded,Annually,0.23761868036205042,Average
23,68,Efficiency,Description for Efficiency metric 22,High,Germany,0 to 10,3358,85.39911773255933,PZT,Embedded,Quarterly,0.09350082874352834,Good
24,9,Efficiency,Description for Efficiency metric 23,High,USA,30 to 40,3184,88.36050330270484,PZT,Surface-Mounted,Quarterly,0.05874313603897783,Poor
25,84,Durability,Description for Durability metric 24,High,Canada,10 to 20,531,64.35763564431647,Quartz,Surface-Mounted,Quarterly,0.16919714132263888,Average
26,47,Efficiency,Description for Efficiency metric 25,Unknown,France,20 to 30,890,77.4128140971044,PZT,Surface-Mounted,Monthly,0.15820180272812082,Good
27,65,Efficiency,Description for Efficiency metric 26,Low,Israel,10 to 20,4568,77.16763201583848,Quartz,Surface-Mounted,Quarterly,0.13129869416619877,Average
28,21,Durability,Description for Durability metric 27,High,UK,10 to 20,2118,86.98162505899747,PVDF,Embedded,Monthly,0.2407126451626571,Average
29,97,Efficiency,Description for Efficiency metric 28,Low,South Korea,0 to 10,3982,97.84352845528232,BaTiO3,Embedded,Quarterly,0.06685763120921828,Poor
30,99,Efficiency,Description for Efficiency metric 29,Medium,South Korea,20 to 30,3496,63.8994972397733,Quartz,Embedded,Monthly,0.24022045014100213,Good
31,6,Durability,Description for Durability metric 30,Low,France,10 to 20,4062,89.6640836378524,PVDF,Surface-Mounted,Quarterly,0.056997867547162254,Poor
32,86,Efficiency,Description for Efficiency metric 31,Unknown,Italy,20 to 30,930,82.99852742616312,Quartz,Embedded,Quarterly,0.15778888094422963,Average
33,25,Efficiency,Description for Efficiency metric 32,Low,South Korea,0 to 10,3976,79.011893543173,BaTiO3,Embedded,Monthly,0.23912721343607757,Average
34,3,Efficiency,Description for Efficiency metric 33,Low,South Korea,-10 to 0,4023,88.74398896737009,PZT,Surface-Mounted,Annually,0.1423507836458533,Average
35,72,Durability,Description for Durability metric 34,Medium,Israel,-10 to 0,2320,97.20162332140497,PZT,Embedded,Annually,0.0720495134003794,Good
36,76,Durability,Description for Durability metric 35,High,USA,-10 to 0,821,51.83457089347065,Quartz,Embedded,Annually,0.24373761385523257,Poor
37,29,Efficiency,Description for Efficiency metric 36,Low,USA,10 to 20,2388,57.37000512566103,BaTiO3,Embedded,Monthly,0.14031785887180687,Poor
38,96,Durability,Description for Durability metric 37,Unknown,Israel,10 to 20,298,87.81436157505578,PVDF,Surface-Mounted,Annually,0.2131221947147482,Good
39,66,Efficiency,Description for Efficiency metric 38,Medium,Italy,10 to 20,362,54.189567645504226,PVDF,Embedded,Quarterly,0.18631562004476238,Poor
40,81,Durability,Description for Durability metric 39,Low,USA,20 to 30,3604,75.80618503705466,PVDF,Surface-Mounted,Monthly,0.13115776812429783,Poor
41,83,Efficiency,Description for Efficiency metric 40,Low,UK,30 to 40,4273,60.993038832080344,Quartz,Surface-Mounted,Annually,0.2464816512958659,Average
42,15,Durability,Description for Durability metric 41,Medium,France,20 to 30,2541,63.714785192137576,PZT,Embedded,Quarterly,0.18142822116243706,Average
43,22,Efficiency,Description for Efficiency metric 42,Unknown,Australia,-10 to 0,569,85.09202414722081,Quartz,Embedded,Quarterly,0.2014941685323643,Average
44,70,Efficiency,Description for Efficiency metric 43,Unknown,Israel,30 to 40,1958,51.50963866343558,Quartz,Embedded,Monthly,0.05433378617717304,Good
45,34,Durability,Description for Durability metric 44,Unknown,UK,0 to 10,1288,93.66597139509518,Quartz,Embedded,Annually,0.1718344576214571,Average
46,3,Efficiency,Description for Efficiency metric 45,Low,Japan,30 to 40,384,72.2239477676135,PVDF,Embedded,Quarterly,0.2390379934902424,Poor
47,28,Efficiency,Description for Efficiency metric 46,Low,Germany,0 to 10,1070,75.11966469535506,BaTiO3,Embedded,Annually,0.09840264207168269,Good
48,20,Durability,Description for Durability metric 47,Unknown,Canada,10 to 20,1638,77.0023981846846,Quartz,Surface-Mounted,Quarterly,0.10005957299938831,Poor
49,16,Durability,Description for Durability metric 48,High,Canada,-10 to 0,2569,82.2772147289747,PVDF,Surface-Mounted,Quarterly,0.22003903518644302,Good
50,72,Efficiency,Description for Efficiency metric 49,Unknown,UK,10 to 20,1858,67.2428293311374,Quartz,Surface-Mounted,Monthly,0.23906398201296647,Poor
51,30,Efficiency,Description for Efficiency metric 50,Medium,Canada,20 to 30,4149,55.05537452817457,Quartz,Embedded,Annually,0.12425895401272549,Good
52,36,Efficiency,Description for Efficiency metric 51,Low,Italy,10 to 20,1639,65.91894683330882,PVDF,Embedded,Quarterly,0.18515104144243066,Poor
53,98,Durability,Description for Durability metric 52,Medium,Israel,10 to 20,211,58.407105901141016,BaTiO3,Embedded,Annually,0.23312940214396977,Average
54,49,Durability,Description for Durability metric 53,Medium,Australia,30 to 40,1879,77.80665897252369,BaTiO3,Surface-Mounted,Annually,0.06902468734263462,Good
55,50,Efficiency,Description for Efficiency metric 54,High,Australia,0 to 10,4790,65.90143154801932,PZT,Surface-Mounted,Annually,0.14698840292831353,Poor
56,81,Efficiency,Description for Efficiency metric 55,High,Germany,-10 to 0,2081,97.90335889967174,Quartz,Embedded,Monthly,0.2061577042944278,Poor
57,57,Efficiency,Description for Efficiency metric 56,Unknown,South Korea,10 to 20,2638,98.28671389901403,PZT,Surface-Mounted,Quarterly,0.17969937875173458,Poor
58,64,Efficiency,Description for Efficiency metric 57,High,UK,10 to 20,4224,81.00629402841207,PVDF,Surface-Mounted,Annually,0.07530241771467211,Poor
59,89,Durability,Description for Durability metric 58,Low,South Korea,0 to 10,1927,80.8748633833643,Quartz,Surface-Mounted,Monthly,0.22200531388303946,Average
60,59,Efficiency,Description for Efficiency metric 59,Low,Japan,20 to 30,409,99.26892822835529,PVDF,Embedded,Annually,0.17361462094068297,Average
61,6,Efficiency,Description for Efficiency metric 60,Low,Canada,20 to 30,3966,94.3641575617593,PZT,Surface-Mounted,Monthly,0.24013202007275425,Good
62,52,Durability,Description for Durability metric 61,Low,Australia,30 to 40,3541,88.253497457907,PVDF,Embedded,Annually,0.17036051494099752,Good
63,62,Durability,Description for Durability metric 62,Low,Italy,0 to 10,3986,65.67953058713506,PVDF,Surface-Mounted,Annually,0.21291702445934552,Poor
64,84,Durability,Description for Durability metric 63,Unknown,Canada,10 to 20,4393,68.27695140590382,BaTiO3,Surface-Mounted,Annually,0.24747666705552712,Good
65,18,Durability,Description for Durability metric 64,Low,Israel,20 to 30,227,60.06333828804327,Quartz,Surface-Mounted,Monthly,0.2074903217227418,Poor
66,46,Efficiency,Description for Efficiency metric 65,Unknown,Israel,20 to 30,271,74.35740634586872,Quartz,Embedded,Monthly,0.14827601405135737,Good
67,97,Efficiency,Description for Efficiency metric 66,Medium,UK,-10 to 0,1207,99.51842610697898,Quartz,Embedded,Quarterly,0.16769450190885393,Good
68,63,Durability,Description for Durability metric 67,Medium,Israel,-10 to 0,4258,95.60754765057945,PVDF,Embedded,Quarterly,0.16464934951700563,Poor
69,23,Durability,Description for Durability metric 68,High,Israel,30 to 40,3374,55.91747170097345,BaTiO3,Embedded,Monthly,0.05989133183845557,Average
70,98,Efficiency,Description for Efficiency metric 69,Low,France,20 to 30,1343,51.25951446452531,PZT,Embedded,Quarterly,0.1270583118090438,Poor
71,10,Efficiency,Description for Efficiency metric 70,Medium,Israel,20 to 30,4935,94.9318834204133,Quartz,Embedded,Monthly,0.13445523057651593,Average
72,6,Efficiency,Description for Efficiency metric 71,Unknown,France,0 to 10,3012,76.85850639743538,PVDF,Surface-Mounted,Monthly,0.07592631854517609,Good
73,77,Durability,Description for Durability metric 72,Unknown,Canada,-10 to 0,4362,60.00949441042281,BaTiO3,Embedded,Monthly,0.058261269379818285,Average
74,62,Durability,Description for Durability metric 73,Unknown,Japan,-10 to 0,3927,83.68266347923176,BaTiO3,Surface-Mounted,Quarterly,0.05094950086497818,Poor
75,43,Durability,Description for Durability metric 74,High,Australia,20 to 30,3554,82.211158896491,Quartz,Embedded,Annually,0.12136101624234703,Good
76,17,Efficiency,Description for Efficiency metric 75,Unknown,Germany,30 to 40,3909,56.10428034182336,BaTiO3,Embedded,Quarterly,0.09850640325059326,Average
77,60,Efficiency,Description for Efficiency metric 76,High,France,20 to 30,4001,62.98001167488098,BaTiO3,Embedded,Annually,0.16107709676470663,Average
78,18,Efficiency,Description for Efficiency metric 77,Unknown,Japan,10 to 20,3981,53.0038982156629,PVDF,Embedded,Quarterly,0.23478693629423641,Poor
79,69,Durability,Description for Durability metric 78,High,Germany,-10 to 0,2503,60.4930236935071,PZT,Embedded,Annually,0.05780945199256098,Good
80,61,Durability,Description for Durability metric 79,High,Canada,-10 to 0,2398,56.61528374265315,BaTiO3,Surface-Mounted,Annually,0.1370532318695284,Good
81,26,Efficiency,Description for Efficiency metric 80,Medium,Australia,0 to 10,2892,59.66181462372781,PZT,Embedded,Monthly,0.18352914474019194,Average
82,15,Efficiency,Description for Efficiency metric 81,Medium,Canada,30 to 40,379,84.27335729565584,BaTiO3,Surface-Mounted,Quarterly,0.06684149935789659,Average
83,62,Durability,Description for Durability metric 82,Unknown,Italy,0 to 10,1246,52.47498721305339,BaTiO3,Embedded,Annually,0.17239395248362904,Average
84,54,Durability,Description for Durability metric 83,Medium,Canada,-10 to 0,4012,55.092730762410824,BaTiO3,Embedded,Quarterly,0.12381978804347171,Good
85,82,Durability,Description for Durability metric 84,High,Canada,30 to 40,3725,56.70868190391438,Quartz,Surface-Mounted,Monthly,0.20305407151016475,Average
86,30,Efficiency,Description for Efficiency metric 85,High,Germany,20 to 30,3409,65.8270560479067,Quartz,Surface-Mounted,Monthly,0.09952301697368873,Average
87,71,Efficiency,Description for Efficiency metric 86,Low,Italy,20 to 30,915,64.93751554259704,Quartz,Embedded,Annually,0.07469904507077499,Good
88,29,Durability,Description for Durability metric 87,Low,UK,30 to 40,1779,62.75318926583197,PZT,Surface-Mounted,Monthly,0.07140851828490724,Good
89,75,Efficiency,Description for Efficiency metric 88,High,Italy,10 to 20,2754,87.52683267162081,PZT,Embedded,Quarterly,0.1489529426820188,Poor
90,6,Durability,Description for Durability metric 89,Medium,Australia,20 to 30,2121,99.90113938790503,Quartz,Surface-Mounted,Monthly,0.16241306349735743,Good
91,85,Efficiency,Description for Efficiency metric 90,High,Australia,0 to 10,910,76.69889618143979,PZT,Surface-Mounted,Monthly,0.0937566619662516,Good
92,56,Efficiency,Description for Efficiency metric 91,Unknown,Germany,20 to 30,612,97.2101358956971,PVDF,Surface-Mounted,Monthly,0.1601598573471455,Poor
93,51,Efficiency,Description for Efficiency metric 92,Low,Italy,20 to 30,3050,69.83050560630323,PZT,Surface-Mounted,Monthly,0.19357053344390607,Good
94,87,Durability,Description for Durability metric 93,Low,Japan,10 to 20,4929,55.33412234013567,PVDF,Embedded,Quarterly,0.09996059136121793,Poor
95,54,Efficiency,Description for Efficiency metric 94,Medium,Israel,20 to 30,3239,70.43869147349187,Quartz,Surface-Mounted,Quarterly,0.05203298854147356,Good
96,11,Durability,Description for Durability metric 95,High,Italy,0 to 10,4483,64.80638867073466,PVDF,Surface-Mounted,Annually,0.2162133163451453,Poor
97,44,Efficiency,Description for Efficiency metric 96,Low,Germany,0 to 10,2945,74.6703481144589,Quartz,Surface-Mounted,Monthly,0.21873563413508973,Average
98,60,Durability,Description for Durability metric 97,Medium,Australia,0 to 10,2087,82.85218384582116,Quartz,Surface-Mounted,Annually,0.12553612337689712,Average
99,31,Durability,Description for Durability metric 98,Low,Germany,-10 to 0,4193,73.05251095762041,Quartz,Surface-Mounted,Annually,0.23764875374053562,Average
100,60,Durability,Description for Durability metric 99,Medium,Canada,20 to 30,1386,96.75802560389127,PZT,Surface-Mounted,Quarterly,0.21535932018485798,Poor
